,song_name,main_artist,artist_count,released_year,released_month,released_day,streams,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
0,seven,latto,2,2023,7,14,141381703,125,Major,80,89,83,31,0,8,4
1,lala,myke towers,1,2023,3,23,133716286,92,Major,71,61,74,7,0,10,4
2,vampire,olivia rodrigo,1,2023,6,30,140003974,138,Major,51,32,53,17,0,31,6
3,cruel summer,taylor swift,1,2019,8,23,800840817,170,Major,55,58,72,11,0,11,15
4,where she goes,bad bunny,1,2023,5,18,303236322,144,Minor,65,23,80,14,63,11,6
5,sprinter,dave,2,2023,6,1,183706234,141,Major,92,66,58,19,0,8,24
6,ella baila sola,eslabon armado,2,2023,3,16,725980112,148,Minor,67,83,76,48,0,8,3
7,columbia,quevedo,1,2023,7,7,58149378,100,Major,67,26,71,37,0,11,4
8,fukumean,gunna,1,2023,5,15,95217315,130,Minor,85,22,62,12,0,28,9
9,la bebe - remix,peso pluma,2,2023,3,17,553634067,170,Minor,81,56,48,21,0,8,33
10,un x100to,bad bunny,2,2023,4,17,505671438,83,Minor,57,56,72,23,0,27,5
11,super shy,newjeans,1,2023,7,7,58255150,150,Minor,78,52,82,18,0,15,7
12,flowers,miley cyrus,1,2023,1,12,1316855716,118,Major,71,65,68,6,0,3,7
13,daylight,david kushner,1,2023,4,14,387570742,130,Minor,51,32,43,83,0,9,3
14,as it was,harry styles,1,2022,3,31,2513188493,174,Minor,52,66,73,34,0,31,6
15,kill bill,sza,1,2022,12,8,1163093654,89,Major,64,43,73,5,17,16,4
16,cupid - twin ver.,fifty fifty,1,2023,2,24,496795686,120,Minor,78,76,59,43,0,34,3
17,"what was i made for? [from the motion picture ""barbie""]",billie eilish,1,2023,7,13,30546883,78,Major,44,14,9,96,0,10,3
18,classy 101,feid,2,2023,3,31,335222234,100,Major,86,67,66,14,0,12,16
19,like crazy,jimin,1,2023,3,24,363369738,120,Major,63,36,73,0,0,36,4
20,lady gaga,gabito ballesteros,3,2023,6,22,86444842,140,Minor,65,87,74,22,0,42,4
21,i can see you,taylor swift,1,2023,7,7,52135248,123,Major,69,82,76,6,0,6,3
22,i wanna be yours,arctic monkeys,1,2013,1,1,1297026226,135,Minor,48,44,42,12,2,11,3
23,"peso pluma: bzrp music sessions, vol. 55",bizarrap,2,2023,5,31,200647221,133,Minor,85,81,67,26,0,12,5
24,popular,the weeknd,3,2023,6,2,115364561,99,Major,85,83,68,7,0,36,20
25,sabor fresa,fuerza regida,1,2023,6,22,78300654,130,Minor,79,96,86,9,0,9,9
26,calm down,rï¿½ï¿½ma,2,2022,3,25,899183384,107,Major,80,82,80,43,0,14,4
27,mojabi ghost,tainy,2,2023,6,29,61245289,122,Minor,81,74,71,14,0,56,4
28,last night,morgan wallen,1,2023,1,31,429829812,204,Major,52,52,68,46,0,15,4
