,Rank,Title,Main_Artist
1,1,heat waves,glass animals
2,2,as it was,harry styles
3,3,stay,the kid laroi
4,4,easy on me,adele
5,5,shivers,ed sheeran
6,6,first class,jack harlow
7,7,big energy,latto
8,8,ghost,justin bieber
9,9,super gremlin,kodak black
10,10,cold heart (pnau remix),elton john
11,11,wait for u,future
12,12,about damn time,lizzo
13,13,bad habits,ed sheeran
14,14,thats what i want,lil nas x
15,15,enemy,imagine dragons
16,16,industry baby,lil nas x
17,17,abcdefu,gayle
18,18,need to know,doja cat
19,19,wasted on you,morgan wallen
20,20,me porto bonito,bad bunny
21,21,woman,doja cat
22,22,tití me preguntó,bad bunny
23,23,running up that hill (a deal with god),kate bush
24,24,we don't talk about bruno,"carolina gaitán, mauro castillo, adassa, rhenzy feliz, diane guerrero, stephanie beatriz"
25,25,late night talking,harry styles
26,26,i like you (a happier song),post malone
27,27,you proof,morgan wallen
28,28,bad habit,steve lacy
29,29,sunroof,nicky youre
30,30,one right now,post malone
31,31,good 4 u,olivia rodrigo
32,32,numb little bug,em beihold
33,33,jimmy cooks,drake
34,34,'til you can't,cody johnson
35,35,fancy like,walker hayes
36,36,the kind of love we make,luke combs
37,37,i ain't worried,onerepublic
38,38,break my soul,beyoncé
39,39,something in the orange,zach bryan
40,40,save your tears,the weeknd
41,41,smokin out the window,silk sonic (bruno mars
42,42,levitating,dua lipa
43,43,in a minute,lil baby
44,44,moscow mule,bad bunny
45,45,you right,doja cat
46,46,she had me at heads carolina,cole swindell
47,47,vegas,doja cat
48,48,pushin p,gunna
49,49,buy dirt,jordan davis
50,50,i hate u,sza
51,51,boyfriend,dove cameron
52,52,glimpse of us,joji
53,53,surface pressure,jessica darrow
54,54,fall in love,bailey zimmerman
55,55,love nwantiti (ah ah ah),ckay
56,56,super freaky girl,nicki minaj
57,57,hrs and hrs,muni long
58,58,sand in my boots,morgan wallen
59,59,mamiii,becky g
60,60,knife talk,drake
61,61,aa,walker hayes
62,62,sweetest pie,megan thee stallion
63,63,provenza,karol g
64,64,essence,wizkid
65,65,all i want for christmas is you,mariah carey
66,66,bam bam,camila cabello
67,67,5 foot 9,tyler hubbard
68,68,get into it (yuh),doja cat
69,69,efecto,bad bunny
70,70,rock and a hard place,bailey zimmerman
71,71,doin' this,luke combs
72,72,oh my god,adele
73,73,better days,"neiked, mae muller"
74,74,meet me at our spot,the anxiety: willow
75,75,fingers crossed,lauren spencer-smith
76,76,all too well (taylor's version),taylor swift
77,77,party,bad bunny
78,78,después de la playa,bad bunny
79,79,you should probably leave,chris stapleton
80,80,rockin' around the christmas tree,brenda lee
81,81,broadway girls,lil durk
82,82,take my name,parmalee
83,83,what happened to virgil,lil durk
84,84,puffin on zootiez,future
85,85,like i love country music,kane brown
86,86,jingle bell rock,bobby helms
87,87,ojitos lindos,bad bunny
88,88,trouble with a heartbreak,jason aldean
89,89,a holly jolly christmas,burl ives
90,90,kiss me more,doja cat
91,91,she likes it,russell dickerson
92,92,never say never,cole swindell
93,93,damn strait,scotty mccreery
94,94,she's all i wanna be,tate mcrae
95,95,last night lonely,jon pardi
96,96,flower shops,ernest
97,97,to the moon,jnr choi
98,98,unholy,sam smith
99,99,one mississippi,kane brown
100,100,circles around this town,maren morris
