,track_id,artist_id,track_title,artists,popularity
0,0WbMK4wrZ1wFSty9F7FCgu,7GlBOeep6PqTfFi59PTUUN,"good luck, babe!",chappell roan,96
1,6dOtVTDdiauQNBQEDOtlAB,6qqNVTkY8uBg9cP3Jd7DAH,birds of a feather,billie eilish,99
2,7tI8dRuH2Yc6RuoTjxo4dU,1oSPZhvZMIrWW5I41kPkkY,who,jimin,93
3,7221xIgOnuakPdLqT0F3nP,246dkjvS1zLTtiykXe5h60,i had some help,post malone,94
4,6AI3ezQ4o3HUoP6Dhudph3,2YZyLoL8N0Wb9xBt1NhZWg,not like us,kendrick lamar,96
5,5N3hjp1WNayUPZrA8kJmJP,74KM79TiuVKeVCqs8QtB0B,please please please,sabrina carpenter,97
6,3WOhcATHxK2SLNeP5W3v1v,25uiPmTg16RbhZWAqwLBy5,guess featuring billie eilish,charli xcx,87
7,4xdBrk0nFZaP54vvZj0yx7,7GlBOeep6PqTfFi59PTUUN,hot to go!,chappell roan,90
8,5fZJQrFKWQLb7FpJXZ1g7K,3y2cIKLjiOlp1Np37WiUdH,a bar song,shaboozey,88
9,2qSkIjg1o9h3YT9RAgYN75,74KM79TiuVKeVCqs8QtB0B,espresso,sabrina carpenter,98
10,5AJ9hqTS2wcFQCELCFRO7A,1WaFQSHVGZQJTbf0BdxdNo,million dollar baby,tommy richman,94
11,1k2pQc5i348DCHwbn5KTdc,7GlBOeep6PqTfFi59PTUUN,pink pony club,chappell roan,87
12,0OA00aPt3BV10qeMIs3meW,4nVa6XlBFlIkF6msW57PHp,big dawgs,hanumankind,85
13,4KULAymBBJcPRpk1yO4dOG,40ZNYROS4zLfyyBSs2PGe2,i remember everything,zach bryan,88
14,7FOgcfdz9Nx5V9lCNXdBYv,7GlBOeep6PqTfFi59PTUUN,red wine supernova,chappell roan,88
15,3xkHsmpQCBMytMJNiDf3Ii,22wbnEMDvgVIAGdFeek6ET,beautiful things,benson boone,91
16,0AjmK0Eai4zGrLaJwPvrDp,2FXC3k01G6Gw61bmprjgqS,too sweet,hozier,83
