Draw Date,WinningNumbers1,WinningNumbers2,WinningNumbers3,WinningNumbers4,WinningNumbers5,Mega Ball,Multiplier
4/16/24,21,26,36,44,59,2,4
4/12/24,01,12,14,18,66,16,2
4/9/24,34,43,51,52,69,25,4
4/5/24,20,30,54,63,65,14,3
4/2/24,10,50,56,60,66,19,3
3/29/24,11,30,33,38,60,16,4
3/26/24,07,11,22,29,38,4,2
3/22/24,03,08,31,35,44,16,3
3/19/24,24,46,49,62,66,7,2
3/15/24,13,25,50,51,66,6,5
3/12/24,02,16,31,57,64,24,3
3/8/24,19,20,22,47,58,1,3
3/5/24,02,49,50,61,70,14,2
3/1/24,15,33,37,55,61,24,4
2/27/24,06,18,26,27,49,4,3
2/23/24,04,06,40,41,60,11,5
2/20/24,05,45,55,58,68,7,2
2/16/24,19,23,39,42,67,18,4
2/13/24,01,03,19,25,58,20,3
2/9/24,17,22,29,46,69,1,3
2/6/24,02,10,31,44,57,10,4
2/2/24,11,22,42,64,69,18,3
1/30/24,03,05,16,58,59,11,4
1/26/24,14,31,34,50,61,13,3
1/23/24,21,28,58,69,70,20,2
1/19/24,01,09,16,17,30,17,2
1/16/24,02,10,42,49,54,13,2
1/12/24,19,34,35,45,67,7,3
1/9/24,12,15,32,33,53,24,3
1/5/24,05,23,26,38,44,25,3
1/2/24,03,18,27,29,64,1,2
12/29/23,11,27,30,62,70,10,3
12/26/23,08,10,22,58,64,21,3
12/22/23,10,26,36,54,69,4,4
12/19/23,17,26,50,58,61,11,3
12/15/23,10,20,28,40,54,12,2
12/12/23,08,23,44,45,53,3,4
12/8/23,21,26,53,66,70,13,3
12/5/23,18,35,40,64,67,18,4
12/1/23,12,47,49,52,65,12,4
11/28/23,27,37,42,59,61,11,3
11/24/23,06,15,45,59,68,1,4
11/21/23,17,22,25,30,38,24,4
11/17/23,06,12,31,33,69,17,3
11/14/23,29,35,59,61,69,22,4
11/10/23,13,33,59,68,70,8,3
11/7/23,03,11,33,42,52,20,2
11/3/23,15,32,38,47,65,12,4
10/31/23,14,35,37,55,70,15,3
10/27/23,11,32,43,57,70,6,4
10/24/23,16,20,30,54,59,7,3
10/20/23,07,29,36,49,61,22,4
10/17/23,05,06,29,32,61,20,4
10/13/23,06,18,44,46,68,18,3
10/10/23,03,08,17,46,63,7,4
10/6/23,12,24,46,57,66,22,3
10/3/23,03,19,32,39,59,24,3
9/29/23,18,40,47,55,64,11,4
9/26/23,15,30,35,42,60,16,4
