Draw Date,Winning Numbers1,Winning Numbers2,Winning Numbers3,Winning Numbers4,Winning Numbers5,Winning Numbers6,Winning Numbers7,Winning Numbers8,Winning Numbers9,Winning Numbers10,Winning Numbers11,Winning Numbers12,Winning Numbers13,Winning Numbers14,Winning Numbers15,Winning Numbers16,Winning Numbers17,Winning Numbers18,Winning Numbers19,Winning Numbers20
4/20/24,01,08,17,18,34,35,39,41,42,44,48,52,58,60,61,62,69,78,79,80
4/19/24,01,03,05,10,14,16,21,27,32,36,39,42,49,54,60,62,67,73,74,77
4/18/24,05,07,19,21,25,32,34,37,39,42,48,58,59,63,66,67,68,70,72,79
4/17/24,01,07,10,14,15,17,20,21,23,26,29,53,55,57,58,65,67,69,79,80
4/16/24,01,05,07,10,12,14,33,39,43,46,50,52,55,63,65,67,72,73,74,80
4/15/24,03,11,13,16,18,22,24,26,28,31,38,39,40,55,56,58,61,65,76,80
4/14/24,02,12,16,18,28,33,38,40,42,46,47,52,57,58,61,63,64,66,71,76
4/13/24,14,19,20,22,26,27,31,32,35,41,49,50,52,53,54,55,59,61,65,75
4/12/24,04,06,09,19,20,22,24,26,30,31,35,38,39,42,55,60,64,67,72,79
4/11/24,01,02,07,08,11,18,20,21,22,25,34,38,42,46,48,54,65,66,71,73
4/10/24,01,06,10,14,20,24,31,33,36,37,38,40,44,49,51,53,65,72,74,79
4/9/24,05,12,16,22,25,32,34,41,43,46,48,51,55,67,68,72,73,75,76,79
4/8/24,01,06,14,17,20,21,22,25,26,30,35,36,38,44,45,49,50,67,70,80
4/7/24,03,05,13,16,17,23,26,32,34,41,47,51,54,60,62,64,66,68,71,74
4/6/24,05,08,18,20,24,27,29,30,38,43,45,49,51,58,61,69,70,71,73,80
4/5/24,07,08,09,12,15,19,21,25,31,42,43,45,49,53,60,61,74,76,78,80
4/4/24,01,08,09,13,14,15,19,22,35,43,44,45,47,52,54,56,59,64,78,79
4/3/24,01,02,08,19,22,27,28,36,41,49,50,52,55,58,63,66,67,71,72,74
4/2/24,01,10,13,14,19,28,29,36,42,50,51,53,56,59,61,67,68,73,74,78
4/1/24,07,09,15,16,28,30,31,35,36,38,46,49,53,55,58,60,64,68,79,80
3/31/24,03,04,06,10,11,13,17,23,24,31,33,36,39,44,46,66,70,73,76,78
3/30/24,02,03,06,16,18,24,26,29,35,39,44,52,54,56,57,62,63,66,68,77
3/29/24,05,07,10,11,12,14,20,22,26,27,28,29,30,31,32,37,44,49,62,78
3/28/24,01,06,16,25,26,27,31,32,41,46,48,49,58,60,62,64,66,70,71,79
